Source.Name	Characteristics..Organism.	Term.Source.REF	Term.Accession.Number	Description	Protocol.REF	Sample.Name	Protocol.REF.1	Extract.Name	Material.Type	Protocol.REF.2	Labeled.Extract.Name	Label	Material.Type.1	Protocol.REF.3	Hybridization.Name	Array.Design.REF	Protocol.REF.4	Scan.Name	Array.Data.File	Comment..ArrayExpress.FTP.file.	Derived.Array.Data.Matrix.File	Comment..Derived.ArrayExpress.FTP.file.
GSM252359.CEL	GSE9984GSM252359	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252359 sample	P-G9984-3	GSE9984GSM252359 extract	total_RNA	P-G9984-2	GSE9984GSM252359 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Term placenta Grp3HT7	A-AFFY-44	P-AFFY-6	Term placenta Grp3HT7	GSM252359.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252349.CEL	GSE9984GSM252349	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252349 sample	P-G9984-3	GSE9984GSM252349 extract	total_RNA	P-G9984-2	GSE9984GSM252349 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	First trimester placenta Grp1H17634	A-AFFY-44	P-AFFY-6	First trimester placenta Grp1H17634	GSM252349.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252358.CEL	GSE9984GSM252358	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252358 sample	P-G9984-3	GSE9984GSM252358 extract	total_RNA	P-G9984-2	GSE9984GSM252358 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Term placenta Grp3HT6	A-AFFY-44	P-AFFY-6	Term placenta Grp3HT6	GSM252358.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252353.CEL	GSE9984GSM252353	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252353 sample	P-G9984-3	GSE9984GSM252353 extract	total_RNA	P-G9984-2	GSE9984GSM252353 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Second trimester placenta Grp2H17464	A-AFFY-44	P-AFFY-6	Second trimester placenta Grp2H17464	GSM252353.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252360.CEL	GSE9984GSM252360	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252360 sample	P-G9984-3	GSE9984GSM252360 extract	total_RNA	P-G9984-2	GSE9984GSM252360 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Term placenta Grp3HT8	A-AFFY-44	P-AFFY-6	Term placenta Grp3HT8	GSM252360.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252352.CEL	GSE9984GSM252352	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252352 sample	P-G9984-3	GSE9984GSM252352 extract	total_RNA	P-G9984-2	GSE9984GSM252352 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	First trimester placenta Grp1H18075	A-AFFY-44	P-AFFY-6	First trimester placenta Grp1H18075	GSM252352.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252350.CEL	GSE9984GSM252350	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252350 sample	P-G9984-3	GSE9984GSM252350 extract	total_RNA	P-G9984-2	GSE9984GSM252350 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	First trimester placenta Grp1H17790	A-AFFY-44	P-AFFY-6	First trimester placenta Grp1H17790	GSM252350.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252356.CEL	GSE9984GSM252356	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252356 sample	P-G9984-3	GSE9984GSM252356 extract	total_RNA	P-G9984-2	GSE9984GSM252356 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Second trimester placenta Grp2H17812	A-AFFY-44	P-AFFY-6	Second trimester placenta Grp2H17812	GSM252356.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252351.CEL	GSE9984GSM252351	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252351 sample	P-G9984-3	GSE9984GSM252351 extract	total_RNA	P-G9984-2	GSE9984GSM252351 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	First trimester placenta Grp1H18035	A-AFFY-44	P-AFFY-6	First trimester placenta Grp1H18035	GSM252351.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252354.CEL	GSE9984GSM252354	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252354 sample	P-G9984-3	GSE9984GSM252354 extract	total_RNA	P-G9984-2	GSE9984GSM252354 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Second trimester placenta Grp2H17607	A-AFFY-44	P-AFFY-6	Second trimester placenta Grp2H17607	GSM252354.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252357.CEL	GSE9984GSM252357	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252357 sample	P-G9984-3	GSE9984GSM252357 extract	total_RNA	P-G9984-2	GSE9984GSM252357 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Term placenta Grp3HT5	A-AFFY-44	P-AFFY-6	Term placenta Grp3HT5	GSM252357.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
GSM252355.CEL	GSE9984GSM252355	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	placenta:  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.. Collection of human placentae was approved by the Institutional Review Board of the University of Washington.  Subjects were excluded if they had any chronic disease, were on chronic medication, were smokers, abused alcohol or drugs.  Term human placenta samples were obtained from scheduled uncomplicated C-sections performed at the University of Washington Medical Center, Seattle, WA.  The 1st (45-59 days) and 2nd (109-115 days) trimester placentae, from uncomplicated elective termination, were provided by Birth Defects Laboratory of the University of Washington.  After collection, the tissues were kept on ice until the placental villus could be dissected and snap-frozen in liquid nitrogen and stored at -80C.	P-G9984-1	GSE9984GSM252355 sample	P-G9984-3	GSE9984GSM252355 extract	total_RNA	P-G9984-2	GSE9984GSM252355 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Second trimester placenta Grp2H17795	A-AFFY-44	P-AFFY-6	Second trimester placenta Grp2H17795	GSM252355.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.raw.1.zip	E-GEOD-9984-processed-data-1632752217.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9984/E-GEOD-9984.processed.1.zip
